2016-03-10T00:04:32.8757825Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30944/60.6%"; freeRamMB=3340; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46408]
2016-03-10T00:04:32.8757826Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-10T00:34:33.3947827Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30944/60.6%"; freeRamMB=3339; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46416]
2016-03-10T00:34:33.3947828Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-10T01:04:33.9137829Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30944/60.6%"; freeRamMB=3340; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-10T01:04:33.9137830Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-10T01:34:34.4327831Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30944/60.6%"; freeRamMB=3340; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-10T01:34:34.4327832Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-10T02:04:34.9517833Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30944/60.6%"; freeRamMB=3339; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-10T02:04:34.9517834Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-10T02:34:35.4707835Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30944/60.6%"; freeRamMB=3342; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-10T02:34:35.4707836Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-10T03:04:35.9897837Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30944/60.6%"; freeRamMB=3344; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-10T03:04:35.9897838Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-10T03:34:36.5097839Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30944/60.6%"; freeRamMB=3342; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46416]
2016-03-10T03:34:36.5097840Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-10T04:04:37.0287841Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30944/60.6%"; freeRamMB=3343; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46416]
2016-03-10T04:04:37.0287842Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-10T04:34:37.5477843Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30944/60.6%"; freeRamMB=3343; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46416]
2016-03-10T04:34:37.5477844Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-10T05:04:38.0667845Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30944/60.6%"; freeRamMB=3342; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46416]
2016-03-10T05:04:38.0667846Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-10T05:34:38.5857847Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30944/60.6%"; freeRamMB=3343; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46416]
2016-03-10T05:34:38.5857848Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-10T06:04:39.1047849Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30944/60.6%"; freeRamMB=3343; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46412]
2016-03-10T06:04:39.1047850Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
2016-03-10T06:34:39.6247851Z	Type=Information     	ID=1253    	Statistics: [badmailSize=0; computerName=WIN-SCOF9BOCHV8; cpu=0; freeC="30944/60.6%"; freeRamMB=3342; lastSentAt=; lastSyncAt=; queueSize=0; retrySize=0; sent=0; startedAt="Thu, 03 Mar 2016 12:31:50 GMT"; version="4.50.14617.0"; wsetKB=46416]
2016-03-10T06:34:39.6247852Z	Type=Information     	ID=30100   	Task [LogStatistics] completed successfully.
